edge,min_value,max_value,jaccard_min_over_max,subject_id
C4-F8,4.965779920358798,5.57771402908166,0.8902894437519928,sub-NORB00064
C4-T3,0.8855236273232989,2.8907652940980135,0.30632844151382516,sub-NORB00064
C4-T4,1.9000075284769729,5.023219131298929,0.3782450016242193,sub-NORB00064
C4-T5,0.49885812018358,1.2916745277636479,0.38621038772614213,sub-NORB00064
C4-T6,1.114171328440083,2.40572250410883,0.46313376814538876,sub-NORB00064
C4-FZ,4.9466329710362755,6.199525964288503,0.7979050333091045,sub-NORB00064
C4-CZ,5.327343442182339,6.746697280097117,0.7896224213139221,sub-NORB00064
C4-PZ,5.517781469295733,6.262077268333732,0.8811423482744652,sub-NORB00064
P3-P4,5.204684524202136,6.442036772619279,0.8079253049786542,sub-NORB00064
P3-O1,3.106995762074043,3.609812294077588,0.8607083994842372,sub-NORB00064
P3-O2,1.3052534635102737,3.813604365388373,0.3422624211773337,sub-NORB00064
P3-F7,1.856500311019082,3.54212858182549,0.5241199657586417,sub-NORB00064
P3-F8,1.2286227453380023,3.333673073355597,0.3685492603212287,sub-NORB00064
P3-T3,2.1614844389878742,3.134110815799822,0.6896643309774819,sub-NORB00064
P3-T4,0.9830178021597303,3.9073071810195144,0.2515844689495942,sub-NORB00064
P3-T5,2.767713064273368,4.000920063162433,0.6917691482407909,sub-NORB00064
P3-T6,2.607562351438618,2.777265505628562,0.9388955957412015,sub-NORB00064
P3-FZ,1.7867738104165591,3.484292920083692,0.5128081511509777,sub-NORB00064
P3-CZ,2.872507236182376,3.636463086210722,0.7899178867165663,sub-NORB00064
P3-PZ,6.395313038429238,7.11630133045499,0.8986849687013388,sub-NORB00064
P4-O1,2.381541088917234,3.522262057286616,0.6761396654148614,sub-NORB00064
P4-O2,2.193664289735797,3.669291866902443,0.597844044384415,sub-NORB00064
P4-F7,1.1407854507495214,3.386354314044855,0.3368771678787806,sub-NORB00064
P4-F8,1.8469193913404955,4.4212700467794015,0.417735033553504,sub-NORB00064
P4-T3,1.138582032523505,2.8404865044177767,0.4008405006510966,sub-NORB00064
P4-T4,2.802300024200126,5.50413699673957,0.5091261401851183,sub-NORB00064
P4-T5,1.8221769257905565,2.9449503392744134,0.6187462319787405,sub-NORB00064
P4-T6,3.9755215692924293,4.407695506351481,0.9019501377905325,sub-NORB00064
P4-FZ,1.8444046628283584,4.515214161809154,0.40848664021937403,sub-NORB00064
P4-CZ,3.1162582965486165,3.468213210805458,0.8985198161519304,sub-NORB00064
P4-PZ,5.866310681358659,7.021534838256389,0.8354741258843346,sub-NORB00064
O1-O2,3.0649855754006783,4.871127645641969,0.6292147934457879,sub-NORB00064
O1-F7,0.6084006400110279,1.8119275588397785,0.3357753664283365,sub-NORB00064
O1-F8,0.7450156632373957,1.5149017147613222,0.49179141853092123,sub-NORB00064
O1-T3,1.2222774412759574,1.7381205477263861,0.7032178768468064,sub-NORB00064
O1-T4,1.0685768528342943,1.5330305989849715,0.6970355670276935,sub-NORB00064
O1-T5,3.217796257083788,4.674675102589935,0.6883465024769347,sub-NORB00064
O1-T6,2.17369922920212,3.928613455784887,0.5532993392366831,sub-NORB00064
O1-FZ,0.761546490306804,1.3517051473953947,0.5633969004070382,sub-NORB00064
O1-CZ,0.8217855828782621,1.380516085796744,0.5952741813971555,sub-NORB00064
O1-PZ,2.308718006495349,2.3524045150528123,0.9814289981685048,sub-NORB00064
O2-F7,0.626662717821972,1.6345868078600243,0.3833768355456075,sub-NORB00064
O2-F8,0.6141189548531877,1.4805755200336068,0.4147839448535851,sub-NORB00064
