subject_id,session_left,session_right,edge,left_value,right_value,jaccard_min_over_max
sub-NORB00064,ses-2,ses-3,F4-T4,4.15262704587024,2.46362193913837,0.593268288224541
sub-NORB00064,ses-2,ses-3,F4-T5,1.072792293193635,0.7255876958761144,0.6763543143249898
sub-NORB00064,ses-2,ses-3,F4-T6,1.575856865139371,0.5818083914402009,0.36920129252268413
sub-NORB00064,ses-2,ses-3,F4-FZ,9.15351023321498,9.697146225299884,0.943938558885855
sub-NORB00064,ses-2,ses-3,F4-CZ,3.6173560723850366,5.475223961406715,0.6606772796661367
sub-NORB00064,ses-2,ses-3,F4-PZ,4.4020303278252815,2.688143925316271,0.6106600193834386
sub-NORB00064,ses-2,ses-3,C3-C4,6.000261067127672,5.5192860086541415,0.9198409780686803
sub-NORB00064,ses-2,ses-3,C3-P3,5.880444207628729,4.915241285173995,0.835862242991342
sub-NORB00064,ses-2,ses-3,C3-P4,3.558492005971688,3.279219547139891,0.9215194362209792
sub-NORB00064,ses-2,ses-3,C3-O1,1.2098078272243817,1.0216870874033674,0.8445036181881771
sub-NORB00064,ses-2,ses-3,C3-O2,1.446810415524484,0.8915004567621881,0.6161833279580101
sub-NORB00064,ses-2,ses-3,C3-F7,5.669520507785296,5.354195478777324,0.944382416718491
sub-NORB00064,ses-2,ses-3,C3-F8,5.948346069052766,3.5932424281357607,0.6040742059091327
sub-NORB00064,ses-2,ses-3,C3-T3,2.975377780704087,3.5028537135579767,0.8494153692995323
sub-NORB00064,ses-2,ses-3,C3-T4,3.8166937118943474,2.2402577480574024,0.586962936291131
sub-NORB00064,ses-2,ses-3,C3-T5,1.6503074219747362,1.8675897686919036,0.8836562770049033
sub-NORB00064,ses-2,ses-3,C3-T6,1.4601030780014024,0.9715344086437755,0.6653875491952372
sub-NORB00064,ses-2,ses-3,C3-FZ,5.8713690460126005,4.752408323565058,0.8094208158815264
sub-NORB00064,ses-2,ses-3,C3-CZ,4.431082508377855,4.909102106832438,0.9026258594643448
sub-NORB00064,ses-2,ses-3,C3-PZ,5.429067476599007,5.8414651142570335,0.9294016775600519
