Source,Target,F-statistic,p-value
O1,FZ,13.026842838910907,2.2121592698997283e-06
O1,PZ,13.014401784315353,2.239830111610889e-06
O2,P4,12.675419094505893,3.142789341749298e-06
F7,PZ,12.280029760178746,4.665485448873767e-06
T5,F4,12.027988116233958,6.0016965103396084e-06
T4,T5,11.886497479424461,6.913162020669669e-06
T5,Fp2,11.511478026997976,1.0056030632007352e-05
FZ,PZ,11.250279088550439,1.305518999219532e-05
T3,P4,11.215004486816111,1.3523590498479248e-05
T5,C4,11.210277147513423,1.3587627456127842e-05
T5,PZ,10.522956937717288,0.0011802160890334278
C3,T5,10.512652326434052,2.728429044709912e-05
F4,PZ,10.478488879691659,2.8231888622810177e-05
T6,PZ,10.410040563821838,3.0230634443261318e-05
C4,P3,10.079227035432714,4.207516227889076e-05
T3,PZ,9.842132969511006,0.0017071426701445237
T4,T6,9.578789922881183,6.937922048774682e-05
O2,P3,9.544437750941947,7.180248294789825e-05
T5,P4,9.513252393959089,0.00204167069300196
F8,PZ,9.396495317490487,8.324382527813518e-05
T5,FZ,9.203770876017854,0.00010092588288801145
O2,T6,9.117267098953466,0.000110039642036918
T3,T5,8.772326672620611,0.00015533566189616883
O1,T6,8.46913800104732,0.000210316534531977
P3,O2,7.509717578804146,0.0005487018325273145
O2,PZ,7.001763793140262,0.0009116705399724315
O1,P3,6.485270524691112,0.0015277545180058412
T5,P3,6.157105551861723,0.0021208869381577015
T6,T4,6.064833918011587,0.002325815583257886
T6,O1,5.755759646599513,0.0031677795486058343
O2,T5,5.445486704523486,0.004319740078056944
T5,T3,5.232789930702167,0.005343180309216758
C3,O1,4.838324393631796,0.00792611053948514
C4,P4,3.9514097727564574,0.04684062661407434
O1,T5,3.4958270640875293,0.03033524212354615
T3,P3,3.2126261712794917,0.040263754222045874
