node,min_value,max_value,jaccard_min_over_max,subject_id
CZ,0.16124674479166667,0.183190025201249,0.8802157465425541,sub-NORB00084
PZ,0.16895616319444445,0.20944560354396793,0.806682787012888,sub-NORB00084
Fp1,0.1738823784722222,0.19646325028824918,0.8850631261424388,sub-NORB00085
Fp2,0.16090223524305555,0.1898878792121571,0.8473539012107424,sub-NORB00085
F3,0.18165418836805555,0.22135996696578775,0.820628006310333,sub-NORB00085
F4,0.17137315538194445,0.1776613739328344,0.9646055953993283,sub-NORB00085
C3,0.18727799047776408,0.20203993055555558,0.9269355318169031,sub-NORB00085
C4,0.17601182725694442,0.17962509369885904,0.9798844005171558,sub-NORB00085
P3,0.1985541449652778,0.2187806443548941,0.9075489541167728,sub-NORB00085
P4,0.17130533854166663,0.18941755206724,0.9043794340709046,sub-NORB00085
O1,0.21150716145833331,0.219527575359632,0.9634651187298017,sub-NORB00085
O2,0.19791666666666669,0.20070202841936466,0.9861219053208671,sub-NORB00085
F7,0.16825358072916663,0.19084089406235336,0.8816432219930452,sub-NORB00085
F8,0.16499837239583331,0.17386368675684646,0.9490099713955131,sub-NORB00085
T3,0.1854519314236111,0.23623870651586157,0.7850192466709915,sub-NORB00085
T4,0.15196397569444448,0.1843311479504984,0.8244074720093099,sub-NORB00085
T5,0.1958550347222222,0.20437871397958365,0.9582946820077706,sub-NORB00085
T6,0.1815863715277778,0.18355030922411625,0.989300275741075,sub-NORB00085
FZ,0.18480088975694445,0.213772169883184,0.8644759037527151,sub-NORB00085
CZ,0.17055935329861108,0.2110354233543333,0.8082024836761078,sub-NORB00085
PZ,0.17526584201388892,0.21326118476485162,0.8218365766238356,sub-NORB00085
Fp1,0.19251942972303449,0.2366913709365968,0.813377475322517,sub-NORB00086
Fp2,0.16732767066682908,0.1892006842102879,0.8843925240822703,sub-NORB00086
F3,0.21779702136804197,0.24348998750817646,0.8944803997771296,sub-NORB00086
F4,0.18322492157041906,0.19294909432069013,0.949602392358945,sub-NORB00086
C3,0.183929286045457,0.1934425415953263,0.9508212853728388,sub-NORB00086
C4,0.17756505763347413,0.19067140284828374,0.931262134651423,sub-NORB00086
P3,0.1801034367056657,0.19182198177252546,0.938909269112044,sub-NORB00086
P4,0.17986015122431587,0.18366911262047866,0.979261829374472,sub-NORB00086
O1,0.18533802416392114,0.20359877135450505,0.9103101307090484,sub-NORB00086
O2,0.18554826042005093,0.19098325816778147,0.9715420199661908,sub-NORB00086
F7,0.17584422844582517,0.21114915390006467,0.8327962731456218,sub-NORB00086
F8,0.18761561383203382,0.20389863823016893,0.920141573580525,sub-NORB00086
T3,0.17385232226012565,0.18455606765992097,0.9420027445560936,sub-NORB00086
T4,0.19286991984446067,0.21199334018786048,0.9097923532576384,sub-NORB00086
T5,0.1864558399663291,0.19438252357117716,0.959221212590413,sub-NORB00086
T6,0.16920768762133567,0.18844186354437403,0.8979304515394525,sub-NORB00086
FZ,0.215545724361057,0.2421873587695668,0.8899957679712821,sub-NORB00086
CZ,0.18855074024598711,0.19276515670687136,0.9781370423323292,sub-NORB00086
PZ,0.17365675594271168,0.1761001759888488,0.9861248290501887,sub-NORB00086
Fp1,0.18047916955597162,0.18091071027127384,0.9976146204132684,sub-NORB00087
Fp2,0.18182425294951537,0.18933917803608166,0.9603097194964362,sub-NORB00087
F3,0.1858656678680332,0.19727873973574422,0.9421474818675399,sub-NORB00087
F4,0.1748583277892785,0.17780193507587316,0.9834444586593586,sub-NORB00087
C3,0.1629806980397476,0.17448490013117443,0.9340676351777248,sub-NORB00087
C4,0.15332776652932756,0.18070821469124881,0.8484825484624346,sub-NORB00087
P3,0.15528757470383195,0.17662370811952477,0.8792000595907871,sub-NORB00087
P4,0.17079625091013106,0.180221299645637,0.9477029143944802,sub-NORB00087
O1,0.16952651424860735,0.18369645235359827,0.9228622114175883,sub-NORB00087
O2,0.16145585199731982,0.1751386956666205,0.9218742402001999,sub-NORB00087
F7,0.18272598788947833,0.18998613074185378,0.9617859323518712,sub-NORB00087
F8,0.18004873083668493,0.18994386099692492,0.9479049751421017,sub-NORB00087
T3,0.1559135314096341,0.16919014532905935,0.9215284442624986,sub-NORB00087
T4,0.19867560328213874,0.20156845467691792,0.985648293035654,sub-NORB00087
T5,0.16933514603182528,0.19172680484045254,0.8832105983967098,sub-NORB00087
T6,0.18968772301822576,0.19851470552861947,0.9555348683771886,sub-NORB00087
FZ,0.18974040768815154,0.2027409668980083,0.9358760125850791,sub-NORB00087
CZ,0.1772566944307625,0.18765588703106578,0.9445837124279414,sub-NORB00087
PZ,0.15821287412190102,0.18129855838129583,0.872664821686875,sub-NORB00087
Fp1,0.14916115191580379,0.19127604166666667,0.779821406884529,sub-NORB00089
Fp2,0.15331836417091135,0.191943359375,0.7987687861155595,sub-NORB00089
F3,0.17667245525807848,0.19108615451388888,0.9245696304241511,sub-NORB00089
F4,0.1451515781659312,0.1881618923611111,0.7714185712341974,sub-NORB00089
C3,0.14861274138196978,0.18157009548611114,0.8184868823475264,sub-NORB00089
C4,0.16895793470846457,0.17563476562500002,0.9619845712619833,sub-NORB00089
P3,0.14591596039072888,0.17687174479166667,0.8249817434808486,sub-NORB00089
P4,0.15420524979926248,0.1749674479166667,0.8813367951317845,sub-NORB00089
O1,0.15771420425994695,0.16214735243055553,0.9726597560542519,sub-NORB00089
O2,0.1551407750912986,0.17151692708333333,0.9045216570136065,sub-NORB00089
F7,0.14222928219536582,0.17348090277777775,0.8198555571131421,sub-NORB00089
F8,0.13645923847735314,0.18090820312500003,0.7543009997344647,sub-NORB00089
T3,0.1333640700571171,0.16959092881944446,0.7863868131714968,sub-NORB00089
T4,0.1497351261011171,0.1703125,0.8791787220616051,sub-NORB00089
T5,0.14376891377193532,0.1790147569444444,0.8031120798412875,sub-NORB00089
T6,0.15325046397944914,0.17592230902777772,0.8711258101736901,sub-NORB00089
FZ,0.17937334380510925,0.19140624999999997,0.9371342043695505,sub-NORB00089
CZ,0.1501761293400097,0.17693684895833334,0.848755531841615,sub-NORB00089
PZ,0.15161929088825096,0.178173828125,0.8509627507238641,sub-NORB00089
Fp1,0.17225351184124962,0.20872351543601947,0.8252712277359612,sub-NORB00090
Fp2,0.16658627658218356,0.19513626660565242,0.8536920352116552,sub-NORB00090
F3,0.20168633257814622,0.2427520097140312,0.8308328026438936,sub-NORB00090
F4,0.1570611299844972,0.1874031390749179,0.8380923113657615,sub-NORB00090
C3,0.15696479789398501,0.19031570206755438,0.8247601022340703,sub-NORB00090
C4,0.17201988783366412,0.20403032132187432,0.8431094296140859,sub-NORB00090
P3,0.16349171809424706,0.21733078169621975,0.752271338731815,sub-NORB00090
P4,0.16775488343462588,0.18797545989706493,0.8924297008050317,sub-NORB00090
O1,0.17120901034202812,0.18547283032326964,0.9230948276554555,sub-NORB00090
O2,0.1663915780951512,0.22632295395172178,0.7351953268100465,sub-NORB00090
F7,0.16145808382071575,0.1851090135527439,0.872232425217429,sub-NORB00090
F8,0.17515128132543994,0.18300316177466083,0.9570942907593628,sub-NORB00090
