subject_id,session_left,session_right,node,left_value,right_value,jaccard_min_over_max
sub-NORB00069,ses-3,ses-4,T5,0.28585058543460773,0.30099148198072506,0.9496965945797532
sub-NORB00069,ses-3,ses-4,T6,0.287091613562984,0.3330829600806494,0.861922247518968
sub-NORB00069,ses-3,ses-4,FZ,0.3118983641640738,0.31003842837583545,0.9940367247733947
sub-NORB00069,ses-3,ses-4,CZ,0.27339483374007517,0.30461566423568764,0.8975074687181672
sub-NORB00069,ses-3,ses-4,PZ,0.2956527313496558,0.3052398645231322,0.9685914774321693
sub-NORB00070,ses-1,ses-2,Fp1,0.3390178288055493,0.30366507646546814,0.8957200791927716
sub-NORB00070,ses-1,ses-2,Fp2,0.36306113427584313,0.2986807204988511,0.8226733525046563
sub-NORB00070,ses-1,ses-2,F3,0.360305043282278,0.30684381454674664,0.8516223135582156
sub-NORB00070,ses-1,ses-2,F4,0.3762704405454447,0.28674478017198207,0.7620709714967632
sub-NORB00070,ses-1,ses-2,C3,0.3659915174091721,0.28651498701520584,0.7828459769871855
sub-NORB00070,ses-1,ses-2,C4,0.3648998099959171,0.28303389427105274,0.7756482369070558
sub-NORB00070,ses-1,ses-2,P3,0.34000724520374026,0.2796290248896877,0.8224207831869215
sub-NORB00070,ses-1,ses-2,P4,0.37121967374043396,0.32003108555517945,0.8621070169329257
sub-NORB00070,ses-1,ses-2,O1,0.417257063895271,0.33734821085827604,0.8084901132864905
sub-NORB00070,ses-1,ses-2,O2,0.3945365997851358,0.3146419124263312,0.7974973997284026
sub-NORB00070,ses-1,ses-2,F7,0.3661233517183931,0.32044591913332987,0.875240318950766
sub-NORB00070,ses-1,ses-2,F8,0.3318638573421673,0.3009860853904515,0.9069565086146777
sub-NORB00070,ses-1,ses-2,T3,0.3530697288571056,0.2903121336950377,0.8222515553366312
sub-NORB00070,ses-1,ses-2,T4,0.33796596823615993,0.2866777367514772,0.8482443905451328
sub-NORB00070,ses-1,ses-2,T5,0.3699197365185856,0.31519866919064704,0.852073133910255
sub-NORB00070,ses-1,ses-2,T6,0.3567676205890849,0.3122323780660515,0.8751701669296724
sub-NORB00070,ses-1,ses-2,FZ,0.36303471452017533,0.30963237173709623,0.8529001755282241
sub-NORB00070,ses-1,ses-2,CZ,0.34737628814004345,0.2669971118713706,0.768610642081971
sub-NORB00070,ses-1,ses-2,PZ,0.37070479746554097,0.30677590899621965,0.8275477174657718
sub-NORB00070,ses-2,ses-3,Fp1,0.30366507646546814,0.2906453498995319,0.9571247154349117
sub-NORB00070,ses-2,ses-3,Fp2,0.2986807204988511,0.2907945534007025,0.973596665077755
sub-NORB00070,ses-2,ses-3,F3,0.30684381454674664,0.2995714921599841,0.9762995959442596
sub-NORB00070,ses-2,ses-3,F4,0.28674478017198207,0.2812523769808116,0.9808456733270742
sub-NORB00070,ses-2,ses-3,C3,0.28651498701520584,0.3102143211506434,0.9236033525224359
sub-NORB00070,ses-2,ses-3,C4,0.28303389427105274,0.2665469218404856,0.9417491234644213
sub-NORB00070,ses-2,ses-3,P3,0.2796290248896877,0.3160806191792108,0.8846762753623441
