Source,Target,F-stat,p-value
T6,CZ,72.75744377645356,2.625720278974037e-32
Fp1,O2,70.72065511206908,4.155871694878533e-17
O2,T3,70.64688575269548,4.3141264944923467e-17
O2,Fp1,70.58803257226757,4.444694612194343e-17
F7,P4,69.05494995547433,9.665147205342929e-17
Fp2,O1,67.65844652119839,4.279189858206377e-30
F3,PZ,63.173800328507134,3.776504734288413e-28
T4,C4,61.19571022081754,2.7249275368448173e-27
T6,C3,61.019163352514326,3.2505538172543185e-27
C3,O1,60.40582541376439,5.999040941626014e-27
CZ,T3,60.160444717445834,7.665704170010827e-27
F7,PZ,59.9549333005055,9.773926605008619e-15
F8,PZ,59.86826979439579,1.0213710380663821e-14
F7,FZ,58.750388867361806,3.1360309611976195e-26
T5,PZ,56.986263837641786,1.827506397045109e-25
P4,Fp1,56.92237465673409,1.9479674697882533e-25
PZ,Fp1,56.66915545176825,2.5087584286740208e-25
T6,PZ,55.94676771935933,5.163217337490505e-25
O2,C3,53.897019995483035,4.0028962507059545e-24
F7,CZ,53.86898285837572,4.116619951725495e-24
P4,CZ,53.27655483455734,7.44081165286786e-24
O1,C3,51.911380531553164,2.910957535086939e-23
Fp1,CZ,51.308872857664056,5.314925262593909e-23
FZ,PZ,51.271443772468764,5.517467502985253e-23
O1,C4,50.423952479177665,1.286818269278181e-22
FZ,P4,50.10406395792365,1.4652700881321396e-12
C4,O2,49.75389973768036,2.51360328502366e-22
C3,O2,49.310252121176894,3.915849111534989e-22
CZ,T6,48.99050209419293,5.389993966454517e-22
CZ,O1,48.18598023747604,1.2042887651488396e-21
O2,Fp2,47.81102517912269,4.7146575922887205e-12
Fp2,P4,47.21663647652107,6.383887482479425e-12
T3,P3,45.19852914939262,2.383674099781302e-20
Fp2,P3,44.894641205895326,3.2294882879259697e-20
O1,CZ,43.97196968064716,3.343892826052275e-11
O2,C4,42.928089171747914,2.304774977701199e-19
Fp2,CZ,40.585894238395746,2.3943502108598875e-18
Fp2,O2,38.55908478539253,1.815065701980904e-17
T5,CZ,37.38362246742607,5.87618690714118e-17
F8,CZ,34.17815830984125,1.446960420971166e-15
Fp1,O1,33.140617003794674,4.081552807569666e-15
T3,PZ,32.429011497217196,8.312244650961239e-15
Fp2,PZ,31.11504156410203,2.4365425834605955e-08
F8,O2,31.000565965765116,3.465663192436645e-14
F7,F3,29.996754212992357,9.452243228378066e-14
Fp1,P3,26.03650149482798,3.3548596903398014e-07
T6,C4,25.531304403227182,4.358423447986365e-07
O1,F7,23.912441898775747,1.0093630165124972e-06
O1,Fp1,20.41303807772595,1.3680468070711695e-09
O1,F4,19.4498883392075,1.033553677926931e-05
